feature,class_CNV_HIGH,class_CNV_LOW,class_MSI,class_POLE,mean_importance
PGAP1 (D),0.19413174031676733,0.058035212644064645,0.05960559103263534,0.19769696668539205,0.12736737766971484
hsa-mir-126 (M),0.049406507364275334,0.06576391615120968,0.220794554472943,0.17230605316498132,0.12706775778835233
hsa-mir-651 (M),0.10857244800750507,0.1646694952980662,0.056632451765360914,0.17631879199455344,0.12654829676637142
hsa-mir-138 (M),0.22583562057011358,0.10027929770379988,0.11904635461994992,0.056364286067619486,0.12538138974037072
AL121601.1 (R),0.2669574229305155,0.04299101067630892,0.13102277225276562,0.05752289638873286,0.12462352556208073
hsa-mir-132 (M),0.2148978279729083,0.06498959016665608,0.13028833766056022,0.08585913649268781,0.1240087230732031
RPL22L1 (R),0.21770166019293666,0.060783144136207515,0.14727059150498412,0.05595286780617306,0.12042706591007535
ZNF223 (D),0.2372670079721603,0.04669106698338759,0.14494996655739406,0.039910670681084365,0.11720467804850657
hsa-mir-130b (M),0.11018884598099682,0.18439322103117942,0.10089165683342009,0.07106004292674215,0.11663344169308462
LIN7A (D),0.033230212562303324,0.05232197050713052,0.20787197963222293,0.16556169571013343,0.11474646460294755
hsa-mir-2114 (M),0.07964131977543679,0.06678899556931915,0.15697502693268997,0.14338137742730983,0.11169667992618892
C3AR1 (D),0.11453654216408213,0.1423512460059959,0.12788865942793465,0.05664684858818974,0.11035582404655062
hsa-mir-210 (M),0.08329501936225056,0.1441590306870804,0.08204273916855827,0.120419003502536,0.1074789481801063
THADA (R),0.14529476070157646,0.07997135498494277,0.1306934844337441,0.06248496566220518,0.10461114144561712
HIST1H2BE (D),0.16018862053230126,0.06618238685200996,0.08904291972466484,0.09316158815385336,0.10214387881570736
SDHAP3 (D),0.1626256276354493,0.06499284909597022,0.07587668396024747,0.10502134608605582,0.1021291266944307
hsa-mir-1910 (M),0.05144984643018326,0.12573115341320873,0.15852209011577173,0.07166079218892484,0.10184097053702214
FOXB2 (D),0.05171653592756639,0.09091974127177736,0.13431305132169816,0.13001053937851223,0.10173996697488855
CYP2B7P1 (D),0.14022167756607118,0.040689569483944095,0.17769200528421947,0.047421488576432934,0.10150618522766691
hsa-mir-744 (M),0.07151342730784331,0.05006134421355208,0.1607221261169013,0.11307640505374307,0.09884332567300994
TMPRSS12 (D),0.0831606127778958,0.1848562116311376,0.06813679728100083,0.05495230606967704,0.09777648193992783
CGAS (R),0.06076740029861156,0.10000218468927659,0.09027669803824404,0.1394823684298606,0.0976321628639982
hsa-mir-589 (M),0.04244029991730025,0.07674368118793565,0.14508068841423408,0.12170721528115655,0.09649297120015662
hsa-mir-4652 (M),0.0429877395148801,0.07535987002482575,0.0990493330983071,0.15401245684203835,0.09285234987001283
HIST1H3C (D),0.04742996722386083,0.07445243469101312,0.15635964835755267,0.05322670138188304,0.08286718791357742
RETNLB (D),0.11646901561265537,0.0712060418834292,0.03709493113293228,0.07636607934014127,0.07528401699228952
hsa-mir-147b (M),0.08363060092076133,0.056113451319692864,0.09984471470751707,0.04651463826570716,0.07152585130341961
hsa-mir-708 (M),0.0797138731702858,0.04571700400252824,0.09073166060773888,0.06711358989654435,0.07081903191927431
H3F3AP6 (R),0.08455659524659305,0.0741101253657349,0.07226855619546102,0.04366499806347128,0.06865006871781507
hsa-mir-4728 (M),0.16185384267787847,0.037916037397115195,0.04425019207548573,0.02887565740370122,0.06822393238854516
hsa-let-7c (M),0.05112810128982684,0.06271949980017169,0.09606705429381106,0.05657908402088487,0.06662343485117361
HCG11 (R),0.046602868554580186,0.07931552381134219,0.06256369257334095,0.06491299976374787,0.0633487711757528
C4orf37 (D),0.039315354059913654,0.04614758820786613,0.03591015541488444,0.10674149101375409,0.05702864717410458
AC009237.14 (R),0.07993536106230055,0.05294069053976093,0.049408378212843725,0.04298583309512454,0.056317565727507436
